Down,Yards,QB,QB Sacks,QB Years,QB Height,QB Weight,QB Fumbles,QB Rush Att,QB Passer Rating,Receiver ID,Receiver Pos,Receiver Years,Receiver Height,Receiver Weight,Team,Intercepted,Success
1,10,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,1
1,10,B.Roethlisberger,33,12,77,240,2,15,94.4,33,TE,11,77,256,PIT,0,1
3,22,B.Roethlisberger,33,12,77,240,2,15,94.4,33,TE,11,77,256,PIT,0,1
1,10,T.Brady,38,16,76,225,6,34,103.8,2,WR,7,70,200,NE,0,1
1,10,T.Brady,38,16,76,225,6,34,103.8,1,RB,4,68,195,NE,0,1
1,10,T.Brady,38,16,76,225,6,34,103.8,1,RB,4,68,195,NE,0,1
1,10,T.Brady,38,16,76,225,6,34,103.8,4,TE,6,78,265,NE,0,0
2,10,T.Brady,38,16,76,225,6,34,103.8,5,WR,7,71,190,NE,0,0
3,5,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,1
1,15,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,1
3,18,B.Roethlisberger,33,12,77,240,2,15,94.4,33,TE,11,77,256,PIT,0,1
1,20,T.Brady,38,16,76,225,6,34,103.8,7,WR,3,75,205,NE,0,1
2,11,T.Brady,38,16,76,225,6,34,103.8,2,WR,7,70,200,NE,0,1
2,13,T.Brady,38,16,76,225,6,34,103.8,1,RB,4,68,195,NE,0,1
3,6,T.Brady,38,16,76,225,6,34,103.8,2,WR,7,70,200,NE,0,1
2,7,T.Brady,38,16,76,225,6,34,103.8,2,WR,7,70,200,NE,0,1
1,10,T.Brady,38,16,76,225,6,34,103.8,4,TE,6,78,265,NE,0,1
1,10,T.Brady,38,16,76,225,6,34,103.8,4,TE,6,78,265,NE,0,1
2,8,B.Roethlisberger,33,12,77,240,2,15,94.4,33,TE,11,77,256,PIT,0,0
3,8,B.Roethlisberger,33,12,77,240,2,15,94.4,31,WR,7,74,210,PIT,0,1
3,3,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,0
1,10,T.Brady,38,16,76,225,6,34,103.8,2,WR,7,70,200,NE,0,1
2,10,T.Brady,38,16,76,225,6,34,103.8,5,WR,7,71,190,NE,0,1
1,10,T.Brady,38,16,76,225,6,34,103.8,3,RB,4,71,220,NE,0,1
1,9,T.Brady,38,16,76,225,6,34,103.8,2,WR,7,70,200,NE,0,1
2,6,T.Brady,38,16,76,225,6,34,103.8,4,TE,6,78,265,NE,0,1
1,10,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,1
2,15,B.Roethlisberger,33,12,77,240,2,15,94.4,33,TE,11,77,256,PIT,0,1
3,6,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,1
2,8,B.Roethlisberger,33,12,77,240,2,15,94.4,29,RB,10,69,207,PIT,0,1
3,3,B.Roethlisberger,33,12,77,240,2,15,94.4,32,WR,3,71,189,PIT,0,0
4,3,B.Roethlisberger,33,12,77,240,2,15,94.4,31,WR,7,74,210,PIT,0,1
2,5,B.Roethlisberger,33,12,77,240,2,15,94.4,31,WR,7,74,210,PIT,0,0
3,5,B.Roethlisberger,33,12,77,240,2,15,94.4,31,WR,7,74,210,PIT,0,0
1,10,T.Brady,38,16,76,225,6,34,103.8,2,WR,7,70,200,NE,0,1
3,5,T.Brady,38,16,76,225,6,34,103.8,2,WR,7,70,200,NE,0,1
2,1,T.Brady,38,16,76,225,6,34,103.8,5,WR,7,71,190,NE,0,1
1,10,T.Brady,38,16,76,225,6,34,103.8,2,WR,7,70,200,NE,0,0
