Down,Yards,QB,QB Sacks,QB Years,QB Height,QB Weight,QB Fumbles,QB Rush Att,QB Passer Rating,Receiver ID,Receiver Pos,Receiver Years,Receiver Height,Receiver Weight,Team,Intercepted,Success
2,6,B.Hoyer,36,7,74,215,6,15,91.6,376,WR,11,73,183,HOU,0,0
3,6,B.Hoyer,36,7,74,215,6,15,91.6,377,WR,5,72,202,HOU,0,0
1,10,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
2,2,A.Smith,45,11,76,217,4,84,96.8,402,WR,2,69,200,KC,0,1
1,10,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
2,13,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,0
3,13,A.Smith,45,11,76,217,4,84,96.8,402,WR,2,69,200,KC,0,0
3,8,B.Hoyer,36,7,74,215,6,15,91.6,376,WR,11,73,183,HOU,1,0
2,5,A.Smith,45,11,76,217,4,84,96.8,403,WR,7,72,198,KC,1,0
1,10,B.Hoyer,36,7,74,215,6,15,91.6,375,TE,2,77,265,HOU,0,1
3,7,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,1
2,6,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,0
1,10,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,1
3,5,B.Hoyer,36,7,74,215,6,15,91.6,378,TE,3,78,254,HOU,0,1
1,10,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
3,4,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
2,10,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,1
2,17,B.Hoyer,36,7,74,215,6,15,91.6,377,WR,5,72,202,HOU,0,1
3,12,B.Hoyer,36,7,74,215,6,15,91.6,376,WR,11,73,183,HOU,0,0
1,10,A.Smith,45,11,76,217,4,84,96.8,403,WR,7,72,198,KC,0,1
2,4,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
1,10,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,1
2,2,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,0
2,3,B.Hoyer,36,7,74,215,6,15,91.6,372,RB,2,74,223,HOU,1,0
3,12,A.Smith,45,11,76,217,4,84,96.8,402,WR,2,69,200,KC,0,0
2,9,B.Hoyer,36,7,74,215,6,15,91.6,376,WR,11,73,183,HOU,1,0
1,10,A.Smith,45,11,76,217,4,84,96.8,402,WR,2,69,200,KC,0,1
2,6,B.Hoyer,36,7,74,215,6,15,91.6,378,TE,3,78,254,HOU,0,0
3,6,B.Hoyer,36,7,74,215,6,15,91.6,373,RB,3,70,209,HOU,0,1
