,0,1
0,Yards,[ 0.0235317]
1,QB Sacks,[ 0.00508173]
2,QB Years,[-0.00568649]
3,QB Height,[ 0.00984444]
4,QB Weight,[ 0.00425431]
5,QB Fumbles,[-0.28788667]
6,QB Rush Att,[-0.05460169]
7,QB Passer Rating,[ 0.01361617]
8,Receiver Years,[-0.00345811]
9,Receiver Height,[-0.03619729]
10,Receiver Weight,[ 0.00121024]
11,A.Dalton,[-0.01989376]
12,A.Davis,[ 0.05462343]
13,A.Luck,[-0.02218463]
14,A.McCarron,[ 0.04382056]
15,A.Rodgers,[-0.03699478]
16,A.Smith,[-0.05706438]
17,A.Tanney,[-0.0547811]
18,B.Bortles,[-0.04292455]
19,B.Daniels,[ 0.15567359]
20,B.Gabbert,[-0.07608642]
21,B.Hoyer,[ 0.16549288]
22,B.Osweiler,[-0.14999758]
23,B.Weeden,[-0.18672812]
24,C.Daniel,[ 0.18990171]
25,C.Kaepernick,[ 0.00414567]
26,C.Keenum,[-0.1225184]
27,C.McCoy,[-0.15296129]
28,C.Newton,[-0.00432]
29,C.Palmer,[-0.3102693]
30,C.Whitehurst,[-0.04611758]
31,D.Anderson,[ 0.09339812]
32,D.Brees,[-0.06318796]
33,D.Carr,[-0.03468555]
34,D.Orlovsky,[-0.16776904]
35,D.Stanton,[ 0.18264418]
36,E.Manning,[-0.2293477]
37,E.Manuel,[-0.18166238]
38,G.Smith,[-0.15620656]
39,J.Clausen,[-0.0395552]
40,J.Cutler,[ 0.08227799]
41,J.Flacco,[ 0.03038356]
42,J.Garoppolo,[-0.22694015]
43,J.Manziel,[ 0.02748981]
44,J.McCown,[-0.11953511]
45,J.Winston,[-0.02812009]
46,Jo.Freeman,[ 0.07046266]
47,K.Clemens,[ 0.00252156]
48,K.Cousins,[ 0.10613169]
49,K.Moore,[ 0.0395848]
50,L.Jones,[-0.06204811]
51,L.McCown,[ 0.28707758]
52,M.Cassel,[ 0.01328367]
53,M.Hasselbeck,[ 0.0964372]
54,M.Mariota,[-0.09893783]
55,M.McGloin,[ 0.16492147]
56,M.Ryan,[-0.02164894]
57,M.Sanchez,[ 0.01347715]
58,M.Schaub,[ 0.10621596]
59,M.Stafford,[ 0.03172166]
60,M.Vick,[-0.01234107]
61,N.Foles,[-0.15118731]
62,P.Manning,[ 0.12074474]
63,P.Rivers,[ 0.01658982]
64,R.Fitzpatrick,[ 0.0185355]
65,R.Lindley,[-0.19751343]
66,R.Mallett,[-0.12665994]
67,R.Nassib,[ 0.34266229]
68,R.Tannehill,[ 0.0248256]
69,R.Wilson,[ 0.06195237]
70,S.Bradford,[ 0.03169113]
71,S.Mannion,[ 0.34657193]
72,S.Renfree,[ 0.09581732]
73,S.Tolzien,[ 0.09705791]
74,T.Brady,[-0.01491586]
75,T.Bridgewater,[ 0.10735671]
76,T.Romo,[ 0.06675748]
77,T.Taylor,[ 0.1922928]
78,T.Yates,[-0.30210539]
79,Z.Mettenberger,[ 0.11535038]
80,TE,[-0.19017831]
81,WR,[-0.6029632]
82,2,[ 0.59935733]
83,3,[-0.3146194]
84,4,[-0.12447208]
85,5,[ 0.91697662]
86,6,[-0.20875478]
87,7,[ 0.1127083]
88,10,[-0.59493229]
89,29,[ 0.11434098]
90,31,[-0.19062376]
91,32,[-0.32897139]
92,33,[ 0.08191692]
93,34,[ 0.17565092]
94,56,[-0.56877753]
95,57,[-0.91981102]
96,58,[ 0.42212861]
97,59,[-0.27825277]
98,60,[-0.04357554]
99,61,[ 0.0433107]
100,62,[ 0.27767974]
101,65,[ 0.35916366]
102,79,[-0.00051025]
103,80,[ 0.50818969]
104,81,[-0.07730942]
105,82,[-0.37686928]
106,83,[ 0.02639626]
107,84,[-0.08670112]
108,87,[ 0.382217]
109,105,[ 0.03578849]
110,106,[-0.02214571]
111,109,[-0.2180985]
112,110,[-0.03716411]
113,111,[-0.49329116]
114,132,[-0.56481294]
115,134,[ 0.30218217]
116,135,[ 0.10228708]
117,136,[ 0.63950885]
118,137,[ 0.41393175]
119,138,[ 0.2333187]
120,139,[ 0.38724476]
121,140,[-0.03874947]
122,157,[-0.00145661]
123,158,[ 0.46201459]
124,159,[ 0.30979993]
125,160,[ 0.04170318]
126,161,[-0.05718299]
127,162,[-0.18527032]
128,163,[-0.05836408]
129,164,[ 0.64830534]
130,184,[-0.1766485]
131,186,[ 0.20410257]
132,187,[-0.23488338]
133,188,[ 0.50474048]
134,189,[-0.07674647]
135,190,[-0.40495116]
136,191,[-0.16233597]
137,192,[-0.79679949]
138,209,[-0.21293965]
139,210,[ 0.45719124]
140,211,[-0.04701139]
141,212,[-0.08595124]
142,213,[ 0.13322783]
143,215,[-0.2783842]
144,216,[ 0.24508419]
145,217,[-0.5669076]
146,218,[ 0.40248336]
147,237,[ 0.34268905]
148,238,[ 0.43406086]
149,239,[-0.02609176]
150,240,[-0.69182349]
151,241,[ 0.2487699]
152,242,[-0.55131696]
153,243,[-0.24312935]
154,264,[ 0.11971702]
155,265,[ 0.0053074]
156,266,[-0.32123391]
157,267,[ 0.24062119]
158,268,[-0.01041435]
159,269,[-0.11418376]
160,289,[-0.53436534]
161,291,[-0.57984966]
162,292,[ 0.07096748]
163,293,[-0.31086514]
164,294,[-0.47868011]
165,295,[ 0.0315704]
166,296,[ 0.27228918]
167,314,[ 0.30444284]
168,315,[ 0.48351649]
169,316,[ 0.40318402]
170,317,[ 0.4536976]
171,318,[-0.00555968]
172,323,[-0.81683206]
173,324,[ 0.30505966]
174,340,[ 0.5778735]
175,341,[ 0.29547826]
176,342,[ 0.34907952]
177,343,[-0.77544978]
178,344,[ 0.1566666]
179,345,[ 0.19254954]
180,346,[ 0.14087911]
181,348,[ 0.34011681]
182,349,[-0.10124583]
183,372,[ 0.74317569]
184,373,[ 0.49253226]
185,374,[-0.29211102]
186,375,[ 0.23301929]
187,376,[-0.11114883]
188,377,[ 0.12972804]
189,378,[-0.21918363]
190,379,[-0.01345376]
191,380,[-0.6184466]
192,400,[-0.19001908]
193,401,[ 0.00661684]
194,402,[-0.17324157]
195,403,[ 0.41849523]
196,405,[ 0.17483715]
197,423,[-0.33489115]
198,424,[-0.74751096]
199,425,[-0.29084149]
200,426,[ 0.54960364]
201,427,[ 0.22503678]
202,428,[-0.23664075]
203,429,[ 0.16264387]
204,430,[ 0.90827911]
205,431,[-0.25844459]
206,434,[-0.61884234]
207,451,[-0.168722]
208,452,[ 0.32299973]
209,453,[ 0.28294486]
210,455,[ 0.14208397]
211,456,[-0.26465019]
212,457,[ 0.12977875]
213,458,[-0.00253545]
214,477,[ 0.76608317]
215,478,[-0.05173747]
216,479,[ 0.3797831]
217,480,[ 0.56101266]
218,481,[-0.71704902]
219,482,[-0.24457292]
220,483,[ 0.15109608]
221,502,[-0.40261402]
222,503,[ 0.18731803]
223,504,[ 0.04239251]
224,505,[ 0.35719366]
225,506,[ 0.31776902]
226,507,[ 0.11407665]
227,508,[ 0.4458096]
228,530,[-0.10747407]
229,531,[-0.25785129]
230,532,[-0.12935879]
231,533,[-0.29785636]
232,534,[ 0.50698974]
233,535,[ 0.11035508]
234,536,[-0.21430223]
235,556,[-0.09844138]
236,557,[-0.12460362]
237,558,[-0.349233]
238,560,[ 0.39968999]
239,561,[-0.03448161]
240,562,[-0.06825187]
241,563,[-0.04686702]
242,564,[ 0.01829456]
243,567,[ 0.2823675]
244,585,[ 0.23288156]
245,586,[ 0.18718232]
246,587,[ 0.28598145]
247,588,[-0.29114234]
248,589,[-0.04686305]
249,590,[-0.06958739]
250,592,[-0.37804899]
251,593,[ 0.18430592]
252,594,[ 0.13973779]
253,597,[ 0.93435391]
254,611,[-0.23074536]
255,612,[-0.10493236]
256,613,[-0.34669495]
257,614,[ 0.18104706]
258,615,[-0.07519863]
259,616,[ 0.17049041]
260,617,[ 0.02277414]
261,621,[ 0.09670254]
262,640,[-0.00986713]
263,641,[ 0.06508992]
264,642,[ 0.28031696]
265,643,[ 0.43361668]
266,644,[-0.43069655]
267,645,[-0.34773338]
268,646,[ 0.00582538]
269,667,[-0.47710252]
270,668,[ 0.14039404]
271,669,[ 0.11454068]
272,671,[ 0.48713146]
273,672,[ 0.24506596]
274,673,[-0.14134752]
275,674,[-0.31640013]
276,675,[-0.05320544]
277,698,[-0.00058422]
278,700,[ 0.15614213]
279,701,[ 0.34511666]
280,702,[ 0.18286784]
281,703,[ 0.35800042]
282,704,[-0.64138095]
283,705,[ 0.17215115]
284,723,[ 0.08608104]
285,724,[ 0.13542263]
286,725,[ 0.20612087]
287,726,[-0.40699071]
288,728,[ 0.51366419]
289,729,[ 0.42242849]
290,731,[ 0.39821434]
291,751,[ 0.1827141]
292,752,[-1.29836615]
293,753,[ 0.42061858]
294,754,[ 0.40342653]
295,755,[ 0.17901204]
296,756,[ 0.49333175]
297,757,[-0.37725892]
298,761,[ 0.15122363]
299,779,[-0.40911774]
300,780,[-0.04674397]
301,781,[ 0.33993346]
302,782,[ 0.47869118]
303,783,[ 0.41792202]
